SUBMISSION_ID,COMMON_NAME,SCIENTIFIC_NAME,TAXONOMIC_ORDER,COUNT,STATE_PROVINCE,COUNTY,LOCATION_ID,LOCATION,LATITUDE,LONGITUDE,DATE,TIME,PROTOCOL,DURATION_MIN,ALL_OBS_REPORTED,DISTANCE_TRAVELED_KM,AREA_COVERED_HA,NUMBER_OF_OBSERVERS,BREEDING_CODE,OBSERVATION_DETAILS,CHECKLIST_COMMENTS,ML_CATALOG_NUMBERS,PROVINCE_FR,PROVINCE_EN,COUNTRY_FR,COUNTRY_EN,DATE_FR,DATE_EN,MJD,MJD_END,LOCSTR,ENGLISH_NAME,ORDER,FAMILY,SORT,EBIRD_CODE,SCIENTIFIC_NAME_NOSSP,YEAR
S18576851,Dendrocygne veuf,Dendrocygna viduata,219,50,VE-C,nan,L3169292,Mantecal,7.5655556,-69.1452778,2000-06-02,nan,Historical,0,1,nan,nan,1,nan,nan,nan,nan,Apure,Apure,Vénézuela,Venezuela,,,51697.5,51697.5,073356N690843W,White-faced Whistling-Duck,Anseriformes,Anatidae,219,wfwduc1,Dendrocygna viduata,2000
S18563307,Dendrocygne veuf,Dendrocygna viduata,219,20,SN-ZG,nan,L2879183,"Marigot de Kaungha, Koubanao",12.6577578,-16.1435509,1995-07-09,nan,eBird - Casual Observation,0,0,nan,nan,1,nan,nan,nan,nan,Ziguinchor,Ziguinchor,Sénégal,Senegal,,,49907.5,49907.5,123927N160836W,White-faced Whistling-Duck,Anseriformes,Anatidae,219,wfwduc1,Dendrocygna viduata,1995
S18566344,Dendrocygne à ventre noir,Dendrocygna autumnalis,221,X,MX-NAY,San Blas,L1896183,Camino Playa del Borrego,21.5225252,-105.2745785,2001-07-28,nan,Historical,0,1,nan,nan,1,nan,nan,nan,nan,Nayarit,Nayarit,Mexique,Mexico,,,52118.5,52118.5,213121N1051628W,Black-bellied Whistling-Duck,Anseriformes,Anatidae,221,bbwduc,Dendrocygna autumnalis,2001
S46503858,Dendrocygne à ventre noir,Dendrocygna autumnalis,221,5,US-TX,Travis,L130766,Hornsby Bend,30.2181988,-97.6458054,2018-06-12,07:03 AM,eBird - Traveling Count,70,1,2.,nan,2,nan,nan,nan,105332511,Texas,Texas,États-Unis,United States,,,58281.29375,58281.34236111111,301305N973844W,Black-bellied Whistling-Duck,Anseriformes,Anatidae,221,bbwduc,Dendrocygna autumnalis,2018
S18576851,Dendrocygne à ventre noir,Dendrocygna autumnalis,221,40,VE-C,nan,L3169292,Mantecal,7.5655556,-69.1452778,2000-06-02,nan,Historical,0,1,nan,nan,1,nan,nan,nan,nan,Apure,Apure,Vénézuela,Venezuela,,,51697.5,51697.5,073356N690843W,Black-bellied Whistling-Duck,Anseriformes,Anatidae,221,bbwduc,Dendrocygna autumnalis,2000
S18575973,Dendrocygne des Antilles,Dendrocygna arborea,224,4,CU-05,nan,L2881598,Playa de Coralillo,22.9915826,-80.5363083,1999-08-30,nan,eBird - Casual Observation,0,0,nan,nan,1,nan,nan,nan,nan,Villa Clara,Villa Clara,Cuba,Cuba,,,51420.5,51420.5,225929N803210W,West Indian Whistling-Duck,Anseriformes,Anatidae,224,wiwduc1,Dendrocygna arborea,1999
S18575217,Dendrocygne fauve,Dendrocygna bicolor,226,3,US-HI,Honolulu,L870840,Kahuku Aqua Ponds,21.6830426,-157.958293,1991-07-15,nan,eBird - Casual Observation,0,0,nan,nan,1,nan,nan,nan,nan,Hawaii,Hawaii,États-Unis,United States,,,48452.5,48452.5,214058N1575729W,Fulvous Whistling-Duck,Anseriformes,Anatidae,226,fuwduc,Dendrocygna bicolor,1991
S18563315,Oie à tête barrée,Anser indicus,240,10,FR-J,nan,L1066529,Parc Montsouris,48.8221546,2.3380588,2011-06-24,07:30 AM,eBird - Traveling Count,90,1,1.,nan,1,nan,A feral bird that seems well established in the park,nan,22576781 22576821,Île-de-France,Île-de-France,France,France,,,55736.3125,55736.375,484919N022017E,Bar-headed Goose,Anseriformes,Anatidae,240,bahgoo,Anser indicus,2011
S32482724,Oie des neiges,Anser caerulescens,242,20000,CA-QC,Arthabaska,L387422,Réservoir Beaudet,46.0718015,-71.9707489,2016-11-10,10:00 AM,eBird - Stationary Count,180,1,nan,nan,3,nan,"Probablement plus, difficile à évaluer .","Jean-Pierre Artigau, Etienne Artigau et moi",39600931 39600941,Québec,Quebec,Canada,Canada,,,57702.416666666664,57702.541666666664,460418N715814W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,2016
S74701784,Oie des neiges,Anser caerulescens,242,3,CA-QC,Beauharnois-Salaberry,L1912269,Domaine-de-la-Pêche-au-Saumon,45.2538535,-73.7997936,2020-10-11,02:35 PM,eBird - Traveling Count,30,1,.71,nan,2,nan,nan,nan,nan,Québec,Quebec,Canada,Canada,,,59133.60763888889,59133.628472222226,451513N734759W,Snow Goose,Anseriformes,Anatidae,242,snogoo,Anser caerulescens,2020
